Date,Open,High,Low,Close,Adj Close,Volume
29/07/2019,17.27,17.35,17.24,17.33,15.744152,114100
30/07/2019,17.299999,17.33,17.25,17.33,15.744152,133100
31/07/2019,17.35,17.41,17.299999,17.35,15.762322,138700
01/08/2019,17.35,17.389999,17.27,17.34,15.753238,145100
02/08/2019,17.33,17.48,17.25,17.469999,15.871339,143300
05/08/2019,17.360001,17.4,17.129999,17.200001,15.626048,180000
06/08/2019,17.25,17.35,17.110001,17.299999,15.716898,139500
07/08/2019,17.15,17.33,17.08,17.24,15.662387,130400
08/08/2019,17.24,17.33,17.190001,17.26,15.680555,81300
09/08/2019,17.23,17.25,17.110001,17.129999,15.562452,117200
12/08/2019,17.15,17.299999,17.059999,17.09,15.526112,127100
13/08/2019,17.18,17.23,17.09,17.129999,15.562452,80900
14/08/2019,16.98,17.030001,16.709999,16.77,15.339904,133700
15/08/2019,16.84,16.870001,16.620001,16.629999,15.211839,112300
16/08/2019,16.65,16.799999,16.620001,16.76,15.330753,63000
19/08/2019,16.889999,16.959999,16.75,16.879999,15.440522,91200
20/08/2019,16.940001,17.059999,16.91,17,15.550288,56500
21/08/2019,17.049999,17.139999,17.030001,17.120001,15.660055,64700
22/08/2019,17.16,17.209999,17.02,17.02,15.568584,98700
23/08/2019,17.049999,17.110001,17,17.07,15.614319,59100
26/08/2019,17.120001,17.120001,17.01,17.01,15.559437,63000
27/08/2019,17.049999,17.16,17.049999,17.09,15.632613,99800
28/08/2019,17.120001,17.139999,17.01,17.08,15.623466,177200
29/08/2019,17.139999,17.16,17.01,17.059999,15.605171,209300
30/08/2019,17.059999,17.120001,16.93,16.940001,15.495406,147900
03/09/2019,16.98,17.1,16.969999,17.049999,15.596024,75700
04/09/2019,17.139999,17.24,17.129999,17.209999,15.742377,149300
05/09/2019,17.23,17.370001,17.17,17.17,15.705792,103000
06/09/2019,17.200001,17.370001,17.190001,17.27,15.797261,121300
09/09/2019,17.27,17.379999,17.27,17.32,15.842999,110300
10/09/2019,17.360001,17.360001,17.280001,17.299999,15.824704,130100
11/09/2019,17.299999,17.32,17.26,17.26,15.788116,80600
12/09/2019,17.290001,17.299999,17.23,17.26,15.788116,87800
13/09/2019,17.16,17.200001,17.02,17.120001,15.766933,98000
16/09/2019,17.139999,17.23,17.1,17.110001,15.757723,92300
17/09/2019,17.16,17.209999,17.049999,17.09,15.739303,85900
18/09/2019,17.120001,17.18,17.09,17.1,15.748513,54100
19/09/2019,17.139999,17.23,17.08,17.1,15.748513,96700
20/09/2019,17.17,17.200001,17.1,17.129999,15.776142,62700
23/09/2019,17.15,17.190001,17.1,17.129999,15.776142,122200
24/09/2019,17.16,17.200001,17.07,17.120001,15.766933,199100
25/09/2019,17.15,17.17,17.07,17.09,15.739303,80600
26/09/2019,17.09,17.16,17.049999,17.09,15.739303,139400
27/09/2019,17.129999,17.17,17.07,17.08,15.730096,101200
30/09/2019,17.15,17.23,17.120001,17.16,15.803769,153400
01/10/2019,17.190001,17.209999,17.1,17.1,15.748513,83000
02/10/2019,17.1,17.209999,17.01,17.049999,15.702466,140600
03/10/2019,17.030001,17.129999,16.959999,17.09,15.739303,142300
04/10/2019,17.09,17.18,17.02,17.120001,15.766933,156000
07/10/2019,17.120001,17.15,17.059999,17.08,15.730096,109000
08/10/2019,17.1,17.15,17.07,17.139999,15.78535,104100
09/10/2019,17.15,17.190001,17.049999,17.059999,15.711678,84800
10/10/2019,17.129999,17.17,17.07,17.1,15.748513,118600
11/10/2019,17.02,17.129999,16.969999,16.99,15.761501,177900
14/10/2019,17.030001,17.129999,17.01,17.129999,15.891378,122200
15/10/2019,17.08,17.209999,17.08,17.08,15.844996,76900
16/10/2019,17.08,17.110001,17.059999,17.08,15.844996,109200
17/10/2019,17.120001,17.17,17.1,17.120001,15.882105,104000
18/10/2019,17.1,17.17,17.1,17.129999,15.891378,84300
21/10/2019,17.190001,17.209999,17.110001,17.120001,15.882105,108600
22/10/2019,17.16,17.190001,17.139999,17.18,15.937767,105600
23/10/2019,17.219999,17.219999,17.120001,17.15,15.909934,88800
24/10/2019,17.18,17.25,17.16,17.18,15.937767,46400
25/10/2019,17.190001,17.23,17.16,17.17,15.928485,78900
28/10/2019,17.17,17.25,17.17,17.190001,15.947042,81300
29/10/2019,17.219999,17.25,17.190001,17.209999,15.96559,78500
30/10/2019,17.209999,17.27,17.200001,17.209999,15.96559,146900
31/10/2019,17.219999,17.25,17.15,17.15,15.909934,136600
01/11/2019,17.15,17.219999,17.07,17.08,15.844996,97000
04/11/2019,17.120001,17.17,17.08,17.09,15.854269,132200
05/11/2019,17.110001,17.129999,17.07,17.110001,15.872826,153100
06/11/2019,17.139999,17.16,17.1,17.16,15.919209,131100
07/11/2019,17.15,17.17,17.07,17.129999,15.891378,126800
08/11/2019,17.1,17.17,17.09,17.17,15.928485,85600
11/11/2019,17.17,17.25,17.17,17.219999,15.97487,117900
12/11/2019,17.200001,17.25,17.190001,17.24,15.993426,87400
13/11/2019,17.219999,17.290001,17.219999,17.290001,16.039812,141600
14/11/2019,17.200001,17.200001,17.129999,17.16,16.034203,107800
15/11/2019,17.18,17.209999,17.17,17.190001,16.062237,58400
18/11/2019,17.18,17.200001,17.15,17.16,16.034203,88300
19/11/2019,17.200001,17.200001,17.17,17.17,16.043545,108800
20/11/2019,17.16,17.209999,17.15,17.15,16.02486,89300
21/11/2019,17.129999,17.190001,17.129999,17.129999,16.00617,98900
22/11/2019,17.139999,17.209999,17.139999,17.16,16.034203,98700
25/11/2019,17.18,17.209999,17.17,17.18,16.052895,70400
26/11/2019,17.17,17.190001,17.129999,17.18,16.052895,131400
27/11/2019,17.18,17.18,17.15,17.15,16.02486,96600
29/11/2019,17.16,17.209999,17.16,17.16,16.034203,88000
02/12/2019,17.15,17.209999,17.129999,17.209999,16.080919,84500
03/12/2019,17.16,17.190001,17.129999,17.129999,16.00617,223400
04/12/2019,17.129999,17.18,17.129999,17.16,16.034203,136700
05/12/2019,17.15,17.200001,17.15,17.17,16.043545,79700
06/12/2019,17.17,17.219999,17.139999,17.15,16.02486,108300
09/12/2019,17.16,17.17,17.120001,17.139999,16.015512,159400
10/12/2019,17.129999,17.139999,17.02,17.07,15.950106,229500
11/12/2019,16.940001,16.959999,16.700001,16.809999,15.707164,406000
12/12/2019,16.82,16.92,16.82,16.870001,15.763227,186700
13/12/2019,16.790001,16.809999,16.700001,16.790001,15.804647,140600
16/12/2019,16.780001,16.790001,16.700001,16.709999,15.729338,166800
17/12/2019,16.709999,16.790001,16.65,16.700001,15.71993,213500
18/12/2019,16.67,16.76,16.65,16.690001,15.710516,115100
19/12/2019,16.58,16.59,16.4,16.459999,15.494012,347300
20/12/2019,16.42,16.5,16.42,16.43,15.465775,204000
23/12/2019,16.43,16.49,16.379999,16.379999,15.418708,220000
24/12/2019,16.379999,16.5,16.280001,16.280001,15.324577,200900
26/12/2019,16.299999,16.41,16.27,16.299999,15.343403,203300
27/12/2019,16.25,16.25,16.059999,16.120001,15.173967,525300
30/12/2019,16,16.030001,15.81,15.94,15.120846,578900
31/12/2019,15.92,16.16,15.83,16.16,15.329538,798400
02/01/2020,16.049999,16.35,16,16.219999,15.386456,1013800
03/01/2020,16.219999,16.24,16.059999,16.16,15.329538,913000
06/01/2020,16.15,16.16,16.01,16.040001,15.215706,923700
07/01/2020,16.059999,16.16,16.049999,16.120001,15.291595,224800
08/01/2020,16.129999,16.34,16.129999,16.299999,15.462344,235000
09/01/2020,16.34,16.379999,16.27,16.32,15.481316,243700
10/01/2020,16.370001,16.43,16.309999,16.34,15.500291,378300
13/01/2020,16.360001,16.41,16.16,16.18,15.348512,237000
14/01/2020,16.200001,16.290001,16.15,16.23,15.395942,235800
15/01/2020,16.24,16.33,16.16,16.200001,15.367484,218200
16/01/2020,16.25,16.33,16.219999,16.299999,15.462344,200300
17/01/2020,16.33,16.43,16.32,16.4,15.557205,205000
21/01/2020,16.4,16.42,16.34,16.35,15.509775,183100
22/01/2020,16.42,16.450001,16.360001,16.43,15.585665,298900
23/01/2020,16.41,16.48,16.389999,16.48,15.633096,175000
24/01/2020,16.52,16.530001,16.280001,16.299999,15.462344,303800
27/01/2020,16.200001,16.200001,16.040001,16.129999,15.30108,402100
28/01/2020,16.120001,16.219999,16.110001,16.200001,15.367484,129500
29/01/2020,16.209999,16.34,16.209999,16.299999,15.462344,155000
30/01/2020,16.299999,16.35,16.290001,16.34,15.500291,172000
31/01/2020,16.32,16.370001,16.190001,16.190001,15.357998,123800
03/02/2020,16.27,16.389999,16.27,16.389999,15.547718,180900
04/02/2020,16.450001,16.48,16.42,16.459999,15.614121,234700
05/02/2020,16.5,16.559999,16.48,16.549999,15.699496,170200
06/02/2020,16.629999,16.639999,16.58,16.610001,15.756415,166900
07/02/2020,16.610001,16.68,16.58,16.620001,15.765903,141100
10/02/2020,16.639999,16.75,16.639999,16.68,15.822817,148800
11/02/2020,16.74,16.84,16.73,16.790001,15.927166,270200
12/02/2020,16.799999,16.860001,16.73,16.83,15.965109,208200
13/02/2020,16.719999,16.77,16.620001,16.690001,15.949532,171400
14/02/2020,16.73,16.77,16.690001,16.75,16.006868,124600
18/02/2020,16.76,16.82,16.76,16.77,16.02598,188100
19/02/2020,16.780001,16.83,16.780001,16.809999,16.064205,159200
20/02/2020,16.809999,16.83,16.74,16.790001,16.045097,129900
21/02/2020,16.809999,16.809999,16.709999,16.75,16.006868,186000
24/02/2020,16.68,16.709999,16.41,16.450001,15.72018,193400
25/02/2020,16.5,16.530001,15.9,15.92,15.213693,349900
26/02/2020,15.98,16.360001,15.98,16.27,15.548165,286700
27/02/2020,16.08,16.09,15.63,15.89,15.185023,347300
28/02/2020,15.72,15.8,15.22,15.54,14.850553,385300
02/03/2020,15.65,16.059999,15.59,15.69,14.993896,428900
03/03/2020,15.76,16.059999,15.58,15.83,15.127685,394900
04/03/2020,15.95,16.209999,15.91,16.17,15.4526,152500
05/03/2020,16.08,16.08,15.8,15.96,15.251919,157800
06/03/2020,15.82,15.85,15.48,15.69,14.993896,237500
09/03/2020,15.25,15.27,14.58,14.89,14.22939,334200
10/03/2020,15.1,15.2,14.75,14.89,14.22939,127800
11/03/2020,14.76,14.83,14.09,14.27,13.636897,265000
12/03/2020,11.6,13.21,11.6,12.91,12.337234,505100
13/03/2020,13.32,13.53,12.45,13.29,12.823545,382800
16/03/2020,11.8,12.35,11.56,12.04,11.617417,359000
17/03/2020,11.96,12.09,11.56,11.82,11.405139,486000
18/03/2020,10.91,11.67,9.01,9.41,9.079726,815100
19/03/2020,9.34,9.99,8.41,9.9,9.552527,649600
20/03/2020,10.09,11.13,10.09,10.99,10.604271,615400
23/03/2020,10.1,10.86,9.11,9.47,9.137621,907300
24/03/2020,9.8,10.46,9.75,10.27,9.909543,385400
25/03/2020,10.55,11.47,10.03,11.16,10.768304,311500
26/03/2020,11.25,11.65,11.2,11.65,11.241105,540700
27/03/2020,11.45,11.61,11.19,11.61,11.20251,380000
30/03/2020,11.4,11.89,11.34,11.83,11.414787,276800
31/03/2020,11.71,12.22,11.68,12.07,11.646365,361100
01/04/2020,11.77,11.85,11.42,11.71,11.299,245800
02/04/2020,11.48,11.82,11.42,11.76,11.347244,183000
03/04/2020,11.65,11.75,11.18,11.25,10.855145,237600
06/04/2020,11.43,11.88,11.43,11.75,11.337597,364800
07/04/2020,11.92,12.57,11.92,12.54,12.099869,372000
08/04/2020,12.6,13.09,12.58,13.02,12.563023,414200
09/04/2020,13.15,13.95,13.15,13.75,13.2674,500100
13/04/2020,13.87,13.9,13.31,13.51,13.035823,238200
14/04/2020,13.67,13.84,13.46,13.81,13.448732,198500
15/04/2020,13.68,13.71,13.38,13.7,13.34161,242500
16/04/2020,13.68,13.68,12.97,13.18,12.835213,414600
17/04/2020,13.4,13.51,13.23,13.33,12.981288,250100
20/04/2020,13.04,13.35,13.04,13.26,12.913119,229400
21/04/2020,13.17,13.17,12.81,13.06,12.718351,144000
22/04/2020,13.1,13.29,13.07,13.14,12.796259,124200
23/04/2020,13.17,13.33,13.09,13.09,12.747566,135800
24/04/2020,13.21,13.27,13.06,13.1,12.757306,107100
27/04/2020,13.14,13.25,12.91,13.07,12.728089,201400
28/04/2020,13.21,13.21,12.95,13.02,12.679399,514800
29/04/2020,13.13,13.44,13.12,13.27,12.922858,193800
30/04/2020,13.39,13.44,13.22,13.43,13.078672,163800
01/05/2020,13.32,13.42,13.02,13.21,12.864428,293800
04/05/2020,13.18,13.2,13.05,13.15,12.805996,338200
05/05/2020,13.25,13.47,13.21,13.43,13.078672,216600
06/05/2020,13.43,13.53,13.41,13.46,13.107887,229600
07/05/2020,13.58,13.66,13.42,13.45,13.098148,194700
08/05/2020,13.54,13.66,13.39,13.54,13.185795,148700
11/05/2020,13.48,13.52,13.4,13.41,13.059196,151700
12/05/2020,13.52,13.54,13.31,13.39,13.03972,364300
13/05/2020,13.39,13.4,13.18,13.22,12.874166,213700
14/05/2020,13.02,13.02,12.87,12.96,12.740178,264100
15/05/2020,12.87,13.04,12.86,12.94,12.720517,116800
18/05/2020,13.17,13.21,13.12,13.18,12.956447,127000
19/05/2020,13.16,13.24,13.12,13.18,12.956447,145200
20/05/2020,13.22,13.38,13.21,13.38,13.153054,274400
21/05/2020,13.33,13.48,13.33,13.47,13.241528,77500
22/05/2020,13.49,13.59,13.44,13.56,13.330002,178500
26/05/2020,13.66,13.8,13.66,13.74,13.506948,129200
27/05/2020,13.83,13.87,13.69,13.87,13.634742,123200
28/05/2020,13.83,14.06,13.83,14.06,13.821521,176900
29/05/2020,14.08,14.14,13.96,14.02,13.782199,135000
01/06/2020,13.95,14.12,13.94,14.11,13.870671,143500
02/06/2020,14.17,14.36,14.16,14.31,14.06728,133100
03/06/2020,14.4,14.62,14.4,14.58,14.3327,203400
04/06/2020,14.59,14.65,14.5,14.52,14.273718,125000
05/06/2020,14.77,14.82,14.62,14.66,14.411343,157400
08/06/2020,14.8,15.03,14.72,15.02,14.765237,185400
09/06/2020,15,15.03,14.77,14.85,14.598121,144700
10/06/2020,14.92,14.98,14.76,14.88,14.627611,190700
11/06/2020,14.68,14.68,14.1,14.27,14.027958,187600
12/06/2020,14.33,14.33,14.05,14.18,14.061675,162100
15/06/2020,14.05,14.31,14.02,14.16,14.041842,119700
16/06/2020,14.43,14.48,14.2,14.26,14.141007,143800
17/06/2020,14.26,14.4,14.23,14.37,14.250089,133300
18/06/2020,14.29,14.53,14.29,14.5,14.379004,102100
19/06/2020,14.58,14.58,14.45,14.48,14.359171,86900
22/06/2020,14.48,14.48,14.33,14.39,14.269922,92700
23/06/2020,14.44,14.45,14.38,14.42,14.299672,66500
24/06/2020,14.3,14.38,14.18,14.26,14.141007,117500
25/06/2020,14.22,14.25,14.15,14.16,14.041842,112100
26/06/2020,14.16,14.19,14.03,14.05,13.932759,107400
29/06/2020,14.01,14.36,13.81,14.26,14.141007,241800
30/06/2020,14.32,14.48,14.27,14.41,14.289755,128500
01/07/2020,14.43,14.52,14.4,14.49,14.369087,103300
02/07/2020,14.57,14.7,14.51,14.52,14.398838,73000
06/07/2020,14.56,14.69,14.41,14.67,14.547585,182600
07/07/2020,14.69,14.9,14.69,14.81,14.686418,172600
08/07/2020,14.82,14.97,14.81,14.87,14.745916,81300
09/07/2020,14.83,14.88,14.64,14.81,14.686418,70900
10/07/2020,14.76,14.91,14.76,14.81,14.686418,59300
13/07/2020,14.86,14.97,14.82,14.86,14.736,133600
14/07/2020,14.72,14.81,14.68,14.81,14.81,72800
15/07/2020,14.99,14.99,14.84,14.87,14.87,298500
16/07/2020,14.9,14.96,14.87,14.94,14.94,219800
17/07/2020,14.92,14.99,14.9,14.94,14.94,144900
20/07/2020,15,15.02,14.94,15.01,15.01,159000
21/07/2020,15.07,15.14,15.02,15.07,15.07,150000
22/07/2020,15.12,15.18,15.01,15.12,15.12,127100
23/07/2020,15.09,15.13,15,15,15,85000
24/07/2020,15,15.09,14.99,15.03,15.03,94100
27/07/2020,15.02,15.1,15.01,15.04,15.04,102500
